,index,Country Code,Year,Country Name,CDP_City,CDP_TotalEmissions,CDP_Longitude,CDP_Latitude,OWID_iso_code,OWID_co2,OWID_co2_growth_prct,OWID_co2_growth_abs,OWID_consumption_co2,OWID_trade_co2,OWID_trade_co2_share,OWID_co2_per_capita,OWID_consumption_co2_per_capita,OWID_share_global_co2,OWID_cumulative_co2,OWID_share_global_cumulative_co2,OWID_co2_per_gdp,OWID_consumption_co2_per_gdp,OWID_co2_per_unit_energy,OWID_cement_co2,OWID_coal_co2,OWID_flaring_co2,OWID_gas_co2,OWID_oil_co2,OWID_other_industry_co2,OWID_cement_co2_per_capita,OWID_coal_co2_per_capita,OWID_flaring_co2_per_capita,OWID_gas_co2_per_capita,OWID_oil_co2_per_capita,OWID_other_co2_per_capita,OWID_share_global_coal_co2,OWID_share_global_oil_co2,OWID_share_global_gas_co2,OWID_share_global_flaring_co2,OWID_share_global_cement_co2,OWID_cumulative_coal_co2,OWID_cumulative_oil_co2,OWID_cumulative_gas_co2,OWID_cumulative_flaring_co2,OWID_cumulative_cement_co2,OWID_share_global_cumulative_coal_co2,OWID_share_global_cumulative_oil_co2,OWID_share_global_cumulative_gas_co2,OWID_share_global_cumulative_flaring_co2,OWID_share_global_cumulative_cement_co2,OWID_total_ghg,OWID_ghg_per_capita,OWID_methane,OWID_methane_per_capita,OWID_nitrous_oxide,OWID_nitrous_oxide_per_capita,OWID_primary_energy_consumption,OWID_energy_per_capita,OWID_energy_per_gdp,OWID_population,OWID_gdp,GINI_GINI,POP_Population,GDP_GDP,HDI_HDI Rank,HDI_HDI
223,223,CAN,2018,Canada,Hamilton,217306157.0,-79.8661,43.25,CAN,586.505,2.386,13.67,588.406,1.902,0.324,15.819,15.871,1.61,32536.888,2.013,,,,7.171,60.158,15.65,230.242,271.173,2.111,0.193,1.6230000000000002,0.422,6.21,7.314,0.057,0.412,2.213,3.074,3.644,0.473,9564.431,14321.69,7643.561,571.937,354.091,1.262,2.52,3.321,3.435,0.884,,,,,,,,,,37075000.0,,,81.411,77.7,16.0,0.928
224,224,CAN,2019,Canada,Hamilton,13355524.0,-79.8661,43.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.482,77.7,,
225,225,CAN,2019,Canada,Kingston,1149000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.482,77.7,,
226,226,CAN,2020,Canada,Kingston,1149000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.2,,
227,227,CAN,2018,Canada,Laval,2157236.0,-73.7126,45.6207,CAN,586.505,2.386,13.67,588.406,1.902,0.324,15.819,15.871,1.61,32536.888,2.013,,,,7.171,60.158,15.65,230.242,271.173,2.111,0.193,1.6230000000000002,0.422,6.21,7.314,0.057,0.412,2.213,3.074,3.644,0.473,9564.431,14321.69,7643.561,571.937,354.091,1.262,2.52,3.321,3.435,0.884,,,,,,,,,,37075000.0,,,81.411,77.7,16.0,0.928
228,228,CAN,2019,Canada,Laval,2259666.0,-73.7126,45.6207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.482,77.7,,
229,229,CAN,2014,Canada,London ON,2920000.0,-81.2497,42.9837,CAN,575.942,-0.067,-0.385,600.006,24.064,4.178,16.149,16.824,1.634,30237.609,2.051,0.376,0.392,0.145,5.9460000000000015,76.385,16.74,214.653,259.763,2.456,0.16699999999999998,2.142,0.469,6.019,7.284,0.069,0.511,2.212,3.257,4.64,0.401,9280.96,13268.29,6777.803000000001,510.496,327.713,1.3259999999999998,2.551,3.358,3.384,0.96,819.39,22.975,120.98,3.392,47.3,1.3259999999999998,3975.295,111465.209,2.5980000000000003,35664000.0,1530000000000.0,33.2,81.218,80.2,16.0,0.918
230,230,CAN,2015,Canada,London ON,3070000.0,-81.2497,42.9837,CAN,575.9069999999998,-0.006,-0.035,581.242,5.335,0.926,15.985,16.134,1.636,30813.516,2.042,0.374,0.377,0.146,6.263,77.744,16.158,212.48,260.99,2.271,0.174,2.158,0.449,5.898,7.244,0.063,0.532,2.19,3.142,4.463,0.438,9358.703,13529.28,6990.281999999998,526.655,333.977,1.31,2.543,3.3510000000000004,3.41,0.939,861.77,23.92,132.11,3.667,52.24,1.45,3943.071,109447.654,2.56,36027000.0,1540000000000.0,33.7,81.259,79.1,16.0,0.921
231,231,CAN,2016,Canada,London ON,3070000.0,-81.2497,42.9837,CAN,564.033,-2.062,-11.874,564.487,0.454,0.081,15.503,15.515,1.601,31377.549,2.032,0.359,0.36,0.14300000000000002,6.192,72.861,14.317,209.515,258.91700000000003,2.23,0.17,2.003,0.394,5.759,7.1160000000000005,0.061,0.507,2.1630000000000003,3.019,3.855,0.423,9431.565,13788.197,7199.797,540.972,340.1690000000001,1.294,2.535,3.341,3.42,0.918,779.27,21.419,105.61,2.903,44.34,1.219,3933.539,108114.755,2.505,36383000.0,1570000000000.0,32.7,81.3,78.0,16.0,0.923
232,232,CAN,2017,Canada,London ON,3160000.0,-81.2497,42.9837,CAN,572.8340000000002,1.561,8.802,575.388,2.5540000000000003,0.446,15.595,15.665,1.605,31950.383,2.022,,,,6.751,72.708,15.315,213.521,262.32,2.218,0.184,1.979,0.417,5.813,7.141,0.06,0.504,2.155,3.0010000000000003,3.791,0.457,9504.273,14050.517,7413.318,556.2869999999998,346.92,1.279,2.526,3.33,3.429,0.901,,,,,,,,,,36732000.0,,33.3,81.35,78.5,16.0,0.926
233,233,CAN,2018,Canada,London ON,2880300.0,-81.2497,42.9837,CAN,586.505,2.386,13.67,588.406,1.902,0.324,15.819,15.871,1.61,32536.888,2.013,,,,7.171,60.158,15.65,230.242,271.173,2.111,0.193,1.6230000000000002,0.422,6.21,7.314,0.057,0.412,2.213,3.074,3.644,0.473,9564.431,14321.69,7643.561,571.937,354.091,1.262,2.52,3.321,3.435,0.884,,,,,,,,,,37075000.0,,,81.411,77.7,16.0,0.928
234,234,CAN,2019,Canada,London ON,2892000.0,-81.2497,42.9837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.482,77.7,,
235,235,CAN,2018,Canada,Mississauga,6600475.7135,43.589,-79.6441,CAN,586.505,2.386,13.67,588.406,1.902,0.324,15.819,15.871,1.61,32536.888,2.013,,,,7.171,60.158,15.65,230.242,271.173,2.111,0.193,1.6230000000000002,0.422,6.21,7.314,0.057,0.412,2.213,3.074,3.644,0.473,9564.431,14321.69,7643.561,571.937,354.091,1.262,2.52,3.321,3.435,0.884,,,,,,,,,,37075000.0,,,81.411,77.7,16.0,0.928
236,236,CAN,2019,Canada,Mississauga,7572890.0,43.589,-79.6441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.482,77.7,,
237,237,CAN,2013,Canada,Montreal,13722942.0,-73.554,45.5087,CAN,576.327,1.157,6.59,608.258,31.931,5.54,16.328,17.233,1.6469999999999998,29661.667,2.062,0.389,0.411,0.147,5.982,79.234,16.649,205.33900000000003,266.711,2.412,0.16899999999999998,2.245,0.472,5.817,7.556,0.068,0.531,2.293,3.139,4.77,0.419,9204.575,13008.526000000002,6563.15,493.757,321.768,1.344,2.559,3.362,3.353,0.985,857.34,24.289,129.72,3.675,50.85,1.4409999999999998,3919.54,111044.578,2.648,35297000.0,1480000000000.0,33.8,81.178,79.4,16.0,0.913
238,238,CAN,2014,Canada,Montreal,13722942.0,-73.554,45.5087,CAN,575.942,-0.067,-0.385,600.006,24.064,4.178,16.149,16.824,1.634,30237.609,2.051,0.376,0.392,0.145,5.9460000000000015,76.385,16.74,214.653,259.763,2.456,0.16699999999999998,2.142,0.469,6.019,7.284,0.069,0.511,2.212,3.257,4.64,0.401,9280.96,13268.29,6777.803000000001,510.496,327.713,1.3259999999999998,2.551,3.358,3.384,0.96,819.39,22.975,120.98,3.392,47.3,1.3259999999999998,3975.295,111465.209,2.5980000000000003,35664000.0,1530000000000.0,33.2,81.218,80.2,16.0,0.918
239,239,CAN,2015,Canada,Montreal,13722942.0,-73.554,45.5087,CAN,575.9069999999998,-0.006,-0.035,581.242,5.335,0.926,15.985,16.134,1.636,30813.516,2.042,0.374,0.377,0.146,6.263,77.744,16.158,212.48,260.99,2.271,0.174,2.158,0.449,5.898,7.244,0.063,0.532,2.19,3.142,4.463,0.438,9358.703,13529.28,6990.281999999998,526.655,333.977,1.31,2.543,3.3510000000000004,3.41,0.939,861.77,23.92,132.11,3.667,52.24,1.45,3943.071,109447.654,2.56,36027000.0,1540000000000.0,33.7,81.259,79.1,16.0,0.921
240,240,CAN,2016,Canada,Montreal,13722942.0,-73.554,45.5087,CAN,564.033,-2.062,-11.874,564.487,0.454,0.081,15.503,15.515,1.601,31377.549,2.032,0.359,0.36,0.14300000000000002,6.192,72.861,14.317,209.515,258.91700000000003,2.23,0.17,2.003,0.394,5.759,7.1160000000000005,0.061,0.507,2.1630000000000003,3.019,3.855,0.423,9431.565,13788.197,7199.797,540.972,340.1690000000001,1.294,2.535,3.341,3.42,0.918,779.27,21.419,105.61,2.903,44.34,1.219,3933.539,108114.755,2.505,36383000.0,1570000000000.0,32.7,81.3,78.0,16.0,0.923
241,241,CAN,2017,Canada,Montreal,10197555.0,-73.554,45.5087,CAN,572.8340000000002,1.561,8.802,575.388,2.5540000000000003,0.446,15.595,15.665,1.605,31950.383,2.022,,,,6.751,72.708,15.315,213.521,262.32,2.218,0.184,1.979,0.417,5.813,7.141,0.06,0.504,2.155,3.0010000000000003,3.791,0.457,9504.273,14050.517,7413.318,556.2869999999998,346.92,1.279,2.526,3.33,3.429,0.901,,,,,,,,,,36732000.0,,33.3,81.35,78.5,16.0,0.926
242,242,CAN,2018,Canada,Montreal,11219680.0,-73.554,45.5087,CAN,586.505,2.386,13.67,588.406,1.902,0.324,15.819,15.871,1.61,32536.888,2.013,,,,7.171,60.158,15.65,230.242,271.173,2.111,0.193,1.6230000000000002,0.422,6.21,7.314,0.057,0.412,2.213,3.074,3.644,0.473,9564.431,14321.69,7643.561,571.937,354.091,1.262,2.52,3.321,3.435,0.884,,,,,,,,,,37075000.0,,,81.411,77.7,16.0,0.928
243,243,CAN,2019,Canada,Montreal,11507512.0,-73.554,45.5087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.482,77.7,,
244,244,CAN,2020,Canada,Montreal,11134110.0,-73.554,45.5087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.2,,
245,245,CAN,2016,Canada,North Vancouver,196840.0,-123.072,49.32,CAN,564.033,-2.062,-11.874,564.487,0.454,0.081,15.503,15.515,1.601,31377.549,2.032,0.359,0.36,0.14300000000000002,6.192,72.861,14.317,209.515,258.91700000000003,2.23,0.17,2.003,0.394,5.759,7.1160000000000005,0.061,0.507,2.1630000000000003,3.019,3.855,0.423,9431.565,13788.197,7199.797,540.972,340.1690000000001,1.294,2.535,3.341,3.42,0.918,779.27,21.419,105.61,2.903,44.34,1.219,3933.539,108114.755,2.505,36383000.0,1570000000000.0,32.7,81.3,78.0,16.0,0.923
246,246,CAN,2017,Canada,North Vancouver,187055.0,-123.072,49.32,CAN,572.8340000000002,1.561,8.802,575.388,2.5540000000000003,0.446,15.595,15.665,1.605,31950.383,2.022,,,,6.751,72.708,15.315,213.521,262.32,2.218,0.184,1.979,0.417,5.813,7.141,0.06,0.504,2.155,3.0010000000000003,3.791,0.457,9504.273,14050.517,7413.318,556.2869999999998,346.92,1.279,2.526,3.33,3.429,0.901,,,,,,,,,,36732000.0,,33.3,81.35,78.5,16.0,0.926
247,247,CAN,2018,Canada,North Vancouver,210045.0,-123.072,49.32,CAN,586.505,2.386,13.67,588.406,1.902,0.324,15.819,15.871,1.61,32536.888,2.013,,,,7.171,60.158,15.65,230.242,271.173,2.111,0.193,1.6230000000000002,0.422,6.21,7.314,0.057,0.412,2.213,3.074,3.644,0.473,9564.431,14321.69,7643.561,571.937,354.091,1.262,2.52,3.321,3.435,0.884,,,,,,,,,,37075000.0,,,81.411,77.7,16.0,0.928
248,248,CAN,2019,Canada,North Vancouver,210045.0,-123.072,49.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.482,77.7,,
249,249,CAN,2017,Canada,Ottawa,5420000.0,-75.6972,45.4215,CAN,572.8340000000002,1.561,8.802,575.388,2.5540000000000003,0.446,15.595,15.665,1.605,31950.383,2.022,,,,6.751,72.708,15.315,213.521,262.32,2.218,0.184,1.979,0.417,5.813,7.141,0.06,0.504,2.155,3.0010000000000003,3.791,0.457,9504.273,14050.517,7413.318,556.2869999999998,346.92,1.279,2.526,3.33,3.429,0.901,,,,,,,,,,36732000.0,,33.3,81.35,78.5,16.0,0.926
250,250,CAN,2018,Canada,Ottawa,6221000.0,-75.6972,45.4215,CAN,586.505,2.386,13.67,588.406,1.902,0.324,15.819,15.871,1.61,32536.888,2.013,,,,7.171,60.158,15.65,230.242,271.173,2.111,0.193,1.6230000000000002,0.422,6.21,7.314,0.057,0.412,2.213,3.074,3.644,0.473,9564.431,14321.69,7643.561,571.937,354.091,1.262,2.52,3.321,3.435,0.884,,,,,,,,,,37075000.0,,,81.411,77.7,16.0,0.928
251,251,CAN,2019,Canada,Ottawa,5933407.0,-75.6972,45.4215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.482,77.7,,
252,252,CAN,2016,Canada,Peterborough,283061.0,-78.31974699999999,44.309058,CAN,564.033,-2.062,-11.874,564.487,0.454,0.081,15.503,15.515,1.601,31377.549,2.032,0.359,0.36,0.14300000000000002,6.192,72.861,14.317,209.515,258.91700000000003,2.23,0.17,2.003,0.394,5.759,7.1160000000000005,0.061,0.507,2.1630000000000003,3.019,3.855,0.423,9431.565,13788.197,7199.797,540.972,340.1690000000001,1.294,2.535,3.341,3.42,0.918,779.27,21.419,105.61,2.903,44.34,1.219,3933.539,108114.755,2.505,36383000.0,1570000000000.0,32.7,81.3,78.0,16.0,0.923
253,253,CAN,2019,Canada,Peterborough,4606.55,-78.31974699999999,44.309058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.482,77.7,,
254,254,CAN,2020,Canada,Peterborough,315063.0,-78.31974699999999,44.309058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.2,,
255,255,CAN,2017,Canada,SalaberrydeValleyfield,435594.0,-74.13308599999999,45.250091,CAN,572.8340000000002,1.561,8.802,575.388,2.5540000000000003,0.446,15.595,15.665,1.605,31950.383,2.022,,,,6.751,72.708,15.315,213.521,262.32,2.218,0.184,1.979,0.417,5.813,7.141,0.06,0.504,2.155,3.0010000000000003,3.791,0.457,9504.273,14050.517,7413.318,556.2869999999998,346.92,1.279,2.526,3.33,3.429,0.901,,,,,,,,,,36732000.0,,33.3,81.35,78.5,16.0,0.926
256,256,CAN,2017,Canada,Saskatoon,3493456.0,-106.67,52.1332,CAN,572.8340000000002,1.561,8.802,575.388,2.5540000000000003,0.446,15.595,15.665,1.605,31950.383,2.022,,,,6.751,72.708,15.315,213.521,262.32,2.218,0.184,1.979,0.417,5.813,7.141,0.06,0.504,2.155,3.0010000000000003,3.791,0.457,9504.273,14050.517,7413.318,556.2869999999998,346.92,1.279,2.526,3.33,3.429,0.901,,,,,,,,,,36732000.0,,33.3,81.35,78.5,16.0,0.926
257,257,CAN,2019,Canada,Saskatoon,3713892.0,-106.67,52.1332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.482,77.7,,
258,258,CAN,2017,Canada,St Catharines,954541.0,-79.2469,43.1594,CAN,572.8340000000002,1.561,8.802,575.388,2.5540000000000003,0.446,15.595,15.665,1.605,31950.383,2.022,,,,6.751,72.708,15.315,213.521,262.32,2.218,0.184,1.979,0.417,5.813,7.141,0.06,0.504,2.155,3.0010000000000003,3.791,0.457,9504.273,14050.517,7413.318,556.2869999999998,346.92,1.279,2.526,3.33,3.429,0.901,,,,,,,,,,36732000.0,,33.3,81.35,78.5,16.0,0.926
259,259,CAN,2018,Canada,St Catharines,949843.0,-79.2469,43.1594,CAN,586.505,2.386,13.67,588.406,1.902,0.324,15.819,15.871,1.61,32536.888,2.013,,,,7.171,60.158,15.65,230.242,271.173,2.111,0.193,1.6230000000000002,0.422,6.21,7.314,0.057,0.412,2.213,3.074,3.644,0.473,9564.431,14321.69,7643.561,571.937,354.091,1.262,2.52,3.321,3.435,0.884,,,,,,,,,,37075000.0,,,81.411,77.7,16.0,0.928
260,260,CAN,2013,Canada,Toronto,20662821.41,-79.3832,43.6532,CAN,576.327,1.157,6.59,608.258,31.931,5.54,16.328,17.233,1.6469999999999998,29661.667,2.062,0.389,0.411,0.147,5.982,79.234,16.649,205.33900000000003,266.711,2.412,0.16899999999999998,2.245,0.472,5.817,7.556,0.068,0.531,2.293,3.139,4.77,0.419,9204.575,13008.526000000002,6563.15,493.757,321.768,1.344,2.559,3.362,3.353,0.985,857.34,24.289,129.72,3.675,50.85,1.4409999999999998,3919.54,111044.578,2.648,35297000.0,1480000000000.0,33.8,81.178,79.4,16.0,0.913
261,261,CAN,2014,Canada,Toronto,20662821.41,-79.3832,43.6532,CAN,575.942,-0.067,-0.385,600.006,24.064,4.178,16.149,16.824,1.634,30237.609,2.051,0.376,0.392,0.145,5.9460000000000015,76.385,16.74,214.653,259.763,2.456,0.16699999999999998,2.142,0.469,6.019,7.284,0.069,0.511,2.212,3.257,4.64,0.401,9280.96,13268.29,6777.803000000001,510.496,327.713,1.3259999999999998,2.551,3.358,3.384,0.96,819.39,22.975,120.98,3.392,47.3,1.3259999999999998,3975.295,111465.209,2.5980000000000003,35664000.0,1530000000000.0,33.2,81.218,80.2,16.0,0.918
262,262,CAN,2015,Canada,Toronto,20313061.0,-79.3832,43.6532,CAN,575.9069999999998,-0.006,-0.035,581.242,5.335,0.926,15.985,16.134,1.636,30813.516,2.042,0.374,0.377,0.146,6.263,77.744,16.158,212.48,260.99,2.271,0.174,2.158,0.449,5.898,7.244,0.063,0.532,2.19,3.142,4.463,0.438,9358.703,13529.28,6990.281999999998,526.655,333.977,1.31,2.543,3.3510000000000004,3.41,0.939,861.77,23.92,132.11,3.667,52.24,1.45,3943.071,109447.654,2.56,36027000.0,1540000000000.0,33.7,81.259,79.1,16.0,0.921
263,263,CAN,2016,Canada,Toronto,18320966.0,-79.3832,43.6532,CAN,564.033,-2.062,-11.874,564.487,0.454,0.081,15.503,15.515,1.601,31377.549,2.032,0.359,0.36,0.14300000000000002,6.192,72.861,14.317,209.515,258.91700000000003,2.23,0.17,2.003,0.394,5.759,7.1160000000000005,0.061,0.507,2.1630000000000003,3.019,3.855,0.423,9431.565,13788.197,7199.797,540.972,340.1690000000001,1.294,2.535,3.341,3.42,0.918,779.27,21.419,105.61,2.903,44.34,1.219,3933.539,108114.755,2.505,36383000.0,1570000000000.0,32.7,81.3,78.0,16.0,0.923
264,264,CAN,2017,Canada,Toronto,20043240.0,-79.3832,43.6532,CAN,572.8340000000002,1.561,8.802,575.388,2.5540000000000003,0.446,15.595,15.665,1.605,31950.383,2.022,,,,6.751,72.708,15.315,213.521,262.32,2.218,0.184,1.979,0.417,5.813,7.141,0.06,0.504,2.155,3.0010000000000003,3.791,0.457,9504.273,14050.517,7413.318,556.2869999999998,346.92,1.279,2.526,3.33,3.429,0.901,,,,,,,,,,36732000.0,,33.3,81.35,78.5,16.0,0.926
265,265,CAN,2018,Canada,Toronto,15600530.0,-79.3832,43.6532,CAN,586.505,2.386,13.67,588.406,1.902,0.324,15.819,15.871,1.61,32536.888,2.013,,,,7.171,60.158,15.65,230.242,271.173,2.111,0.193,1.6230000000000002,0.422,6.21,7.314,0.057,0.412,2.213,3.074,3.644,0.473,9564.431,14321.69,7643.561,571.937,354.091,1.262,2.52,3.321,3.435,0.884,,,,,,,,,,37075000.0,,,81.411,77.7,16.0,0.928
266,266,CAN,2013,Canada,Vancouver,2657105.0,-123.11399999999999,49.2612,CAN,576.327,1.157,6.59,608.258,31.931,5.54,16.328,17.233,1.6469999999999998,29661.667,2.062,0.389,0.411,0.147,5.982,79.234,16.649,205.33900000000003,266.711,2.412,0.16899999999999998,2.245,0.472,5.817,7.556,0.068,0.531,2.293,3.139,4.77,0.419,9204.575,13008.526000000002,6563.15,493.757,321.768,1.344,2.559,3.362,3.353,0.985,857.34,24.289,129.72,3.675,50.85,1.4409999999999998,3919.54,111044.578,2.648,35297000.0,1480000000000.0,33.8,81.178,79.4,16.0,0.913
267,267,CAN,2015,Canada,Vancouver,2625609.0,-123.11399999999999,49.2612,CAN,575.9069999999998,-0.006,-0.035,581.242,5.335,0.926,15.985,16.134,1.636,30813.516,2.042,0.374,0.377,0.146,6.263,77.744,16.158,212.48,260.99,2.271,0.174,2.158,0.449,5.898,7.244,0.063,0.532,2.19,3.142,4.463,0.438,9358.703,13529.28,6990.281999999998,526.655,333.977,1.31,2.543,3.3510000000000004,3.41,0.939,861.77,23.92,132.11,3.667,52.24,1.45,3943.071,109447.654,2.56,36027000.0,1540000000000.0,33.7,81.259,79.1,16.0,0.921
268,268,CAN,2016,Canada,Vancouver,2442602.0,-123.11399999999999,49.2612,CAN,564.033,-2.062,-11.874,564.487,0.454,0.081,15.503,15.515,1.601,31377.549,2.032,0.359,0.36,0.14300000000000002,6.192,72.861,14.317,209.515,258.91700000000003,2.23,0.17,2.003,0.394,5.759,7.1160000000000005,0.061,0.507,2.1630000000000003,3.019,3.855,0.423,9431.565,13788.197,7199.797,540.972,340.1690000000001,1.294,2.535,3.341,3.42,0.918,779.27,21.419,105.61,2.903,44.34,1.219,3933.539,108114.755,2.505,36383000.0,1570000000000.0,32.7,81.3,78.0,16.0,0.923
269,269,CAN,2017,Canada,Vancouver,2499107.0,-123.11399999999999,49.2612,CAN,572.8340000000002,1.561,8.802,575.388,2.5540000000000003,0.446,15.595,15.665,1.605,31950.383,2.022,,,,6.751,72.708,15.315,213.521,262.32,2.218,0.184,1.979,0.417,5.813,7.141,0.06,0.504,2.155,3.0010000000000003,3.791,0.457,9504.273,14050.517,7413.318,556.2869999999998,346.92,1.279,2.526,3.33,3.429,0.901,,,,,,,,,,36732000.0,,33.3,81.35,78.5,16.0,0.926
270,270,CAN,2018,Canada,Vancouver,2595196.0,-123.11399999999999,49.2612,CAN,586.505,2.386,13.67,588.406,1.902,0.324,15.819,15.871,1.61,32536.888,2.013,,,,7.171,60.158,15.65,230.242,271.173,2.111,0.193,1.6230000000000002,0.422,6.21,7.314,0.057,0.412,2.213,3.074,3.644,0.473,9564.431,14321.69,7643.561,571.937,354.091,1.262,2.52,3.321,3.435,0.884,,,,,,,,,,37075000.0,,,81.411,77.7,16.0,0.928
271,271,CAN,2019,Canada,Vancouver,2555868.0,-123.11399999999999,49.2612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.482,77.7,,
272,272,CAN,2019,Canada,Victoria,269967.0,-123.366,48.4284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.482,77.7,,
273,273,CAN,2016,Canada,Windsor,2475703.0,-83.0364,42.3149,CAN,564.033,-2.062,-11.874,564.487,0.454,0.081,15.503,15.515,1.601,31377.549,2.032,0.359,0.36,0.14300000000000002,6.192,72.861,14.317,209.515,258.91700000000003,2.23,0.17,2.003,0.394,5.759,7.1160000000000005,0.061,0.507,2.1630000000000003,3.019,3.855,0.423,9431.565,13788.197,7199.797,540.972,340.1690000000001,1.294,2.535,3.341,3.42,0.918,779.27,21.419,105.61,2.903,44.34,1.219,3933.539,108114.755,2.505,36383000.0,1570000000000.0,32.7,81.3,78.0,16.0,0.923
274,274,CAN,2017,Canada,Windsor,1898713.0,-83.0364,42.3149,CAN,572.8340000000002,1.561,8.802,575.388,2.5540000000000003,0.446,15.595,15.665,1.605,31950.383,2.022,,,,6.751,72.708,15.315,213.521,262.32,2.218,0.184,1.979,0.417,5.813,7.141,0.06,0.504,2.155,3.0010000000000003,3.791,0.457,9504.273,14050.517,7413.318,556.2869999999998,346.92,1.279,2.526,3.33,3.429,0.901,,,,,,,,,,36732000.0,,33.3,81.35,78.5,16.0,0.926
275,275,CAN,2018,Canada,Windsor,2593309.0,-83.0364,42.3149,CAN,586.505,2.386,13.67,588.406,1.902,0.324,15.819,15.871,1.61,32536.888,2.013,,,,7.171,60.158,15.65,230.242,271.173,2.111,0.193,1.6230000000000002,0.422,6.21,7.314,0.057,0.412,2.213,3.074,3.644,0.473,9564.431,14321.69,7643.561,571.937,354.091,1.262,2.52,3.321,3.435,0.884,,,,,,,,,,37075000.0,,,81.411,77.7,16.0,0.928
276,276,CAN,2019,Canada,Windsor,2252517.0,-83.0364,42.3149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.482,77.7,,
277,277,CAN,2015,Canada,Winnipeg,5257325.0,-97.1375,49.8997,CAN,575.9069999999998,-0.006,-0.035,581.242,5.335,0.926,15.985,16.134,1.636,30813.516,2.042,0.374,0.377,0.146,6.263,77.744,16.158,212.48,260.99,2.271,0.174,2.158,0.449,5.898,7.244,0.063,0.532,2.19,3.142,4.463,0.438,9358.703,13529.28,6990.281999999998,526.655,333.977,1.31,2.543,3.3510000000000004,3.41,0.939,861.77,23.92,132.11,3.667,52.24,1.45,3943.071,109447.654,2.56,36027000.0,1540000000000.0,33.7,81.259,79.1,16.0,0.921
278,278,CAN,2016,Canada,Winnipeg,5257325.0,-97.1375,49.8997,CAN,564.033,-2.062,-11.874,564.487,0.454,0.081,15.503,15.515,1.601,31377.549,2.032,0.359,0.36,0.14300000000000002,6.192,72.861,14.317,209.515,258.91700000000003,2.23,0.17,2.003,0.394,5.759,7.1160000000000005,0.061,0.507,2.1630000000000003,3.019,3.855,0.423,9431.565,13788.197,7199.797,540.972,340.1690000000001,1.294,2.535,3.341,3.42,0.918,779.27,21.419,105.61,2.903,44.34,1.219,3933.539,108114.755,2.505,36383000.0,1570000000000.0,32.7,81.3,78.0,16.0,0.923
279,279,CAN,2017,Canada,Winnipeg,5379024.0,-97.1375,49.8997,CAN,572.8340000000002,1.561,8.802,575.388,2.5540000000000003,0.446,15.595,15.665,1.605,31950.383,2.022,,,,6.751,72.708,15.315,213.521,262.32,2.218,0.184,1.979,0.417,5.813,7.141,0.06,0.504,2.155,3.0010000000000003,3.791,0.457,9504.273,14050.517,7413.318,556.2869999999998,346.92,1.279,2.526,3.33,3.429,0.901,,,,,,,,,,36732000.0,,33.3,81.35,78.5,16.0,0.926
280,280,CAN,2018,Canada,Winnipeg,5379024.0,-97.1375,49.8997,CAN,586.505,2.386,13.67,588.406,1.902,0.324,15.819,15.871,1.61,32536.888,2.013,,,,7.171,60.158,15.65,230.242,271.173,2.111,0.193,1.6230000000000002,0.422,6.21,7.314,0.057,0.412,2.213,3.074,3.644,0.473,9564.431,14321.69,7643.561,571.937,354.091,1.262,2.52,3.321,3.435,0.884,,,,,,,,,,37075000.0,,,81.411,77.7,16.0,0.928
281,281,CAN,2019,Canada,Winnipeg,5379024.0,-97.1375,49.8997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.482,77.7,,
