,index,Country Code,Year,Country Name,CDP_City,CDP_TotalEmissions,CDP_Longitude,CDP_Latitude,OWID_iso_code,OWID_co2,OWID_co2_growth_prct,OWID_co2_growth_abs,OWID_consumption_co2,OWID_trade_co2,OWID_trade_co2_share,OWID_co2_per_capita,OWID_consumption_co2_per_capita,OWID_share_global_co2,OWID_cumulative_co2,OWID_share_global_cumulative_co2,OWID_co2_per_gdp,OWID_consumption_co2_per_gdp,OWID_co2_per_unit_energy,OWID_cement_co2,OWID_coal_co2,OWID_flaring_co2,OWID_gas_co2,OWID_oil_co2,OWID_other_industry_co2,OWID_cement_co2_per_capita,OWID_coal_co2_per_capita,OWID_flaring_co2_per_capita,OWID_gas_co2_per_capita,OWID_oil_co2_per_capita,OWID_other_co2_per_capita,OWID_share_global_coal_co2,OWID_share_global_oil_co2,OWID_share_global_gas_co2,OWID_share_global_flaring_co2,OWID_share_global_cement_co2,OWID_cumulative_coal_co2,OWID_cumulative_oil_co2,OWID_cumulative_gas_co2,OWID_cumulative_flaring_co2,OWID_cumulative_cement_co2,OWID_share_global_cumulative_coal_co2,OWID_share_global_cumulative_oil_co2,OWID_share_global_cumulative_gas_co2,OWID_share_global_cumulative_flaring_co2,OWID_share_global_cumulative_cement_co2,OWID_total_ghg,OWID_ghg_per_capita,OWID_methane,OWID_methane_per_capita,OWID_nitrous_oxide,OWID_nitrous_oxide_per_capita,OWID_primary_energy_consumption,OWID_energy_per_capita,OWID_energy_per_gdp,OWID_population,OWID_gdp,GINI_GINI,POP_Population,GDP_GDP,HDI_HDI Rank,HDI_HDI
51,51,ARG,2019,Argentina,Reconquista,291756.19999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,
52,52,ARG,2017,Argentina,Rio Grande,810086.0,-67.7002,-53.786,ARG,187.416,-1.84,-3.514,194.793,7.377000000000002,3.936,4.266,4.433,0.525,7925.163,0.502,,,,4.029,4.279,1.806,96.442,80.859,,0.092,0.097,0.041,2.195,1.84,,0.03,0.664,1.356,0.447,0.273,527.688,4439.7959999999985,2594.186,178.94,184.554,0.071,0.7979999999999999,1.165,1.103,0.479,,,,,,,,,,43937000.0,,41.1,91.749,50.4,46.0,0.843
53,53,ARG,2018,Argentina,Rio Grande,981954.0,-67.7002,-53.786,ARG,185.03,-1.273,-2.386,187.564,2.5340000000000003,1.37,4.171,4.228,0.508,8110.193,0.502,,,,4.029,4.684,1.806,97.251,77.26,,0.091,0.106,0.041,2.192,1.742,,0.032,0.631,1.2990000000000002,0.421,0.266,532.372,4517.055,2691.437,180.746,188.583,0.07,0.795,1.17,1.085,0.471,,,,,,,,,,44361000.0,,41.3,91.87,52.3,46.0,0.8420000000000001
54,54,ARG,2019,Argentina,Rio Grande,981954.0,-67.7002,-53.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,
55,55,ARG,2020,Argentina,Rio Grande,981954.0,-67.7002,-53.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.1,,
56,56,ARG,2019,Argentina,Rosario,4523516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,
57,57,ARG,2019,Argentina,Salliquelo,203695.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,
58,58,ARG,2019,Argentina,San AntonioAreco,182599.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,
59,59,ARG,2019,Argentina,San Carlos Sud,24696.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,
60,60,ARG,2019,Argentina,San CarlosBariloche,905190.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,
61,61,ARG,2019,Argentina,San Martinlos Andes,241533.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,
62,62,ARG,2019,Argentina,San Miguel,756164.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,
63,63,ARG,2019,Argentina,San Nicolaslos Arroyos,3371203.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,
64,64,ARG,2019,Argentina,Santa Fe Ciudad,965990.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,
65,65,ARG,2019,Argentina,Soldini,12056.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,
66,66,ARG,2019,Argentina,Tafi Viejo,106117.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,
67,67,ARG,2019,Argentina,Tapalque,488563.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,
68,68,ARG,2019,Argentina,Tilisarao,35144.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,
69,69,ARG,2019,Argentina,Totoras,116102.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,
70,70,ARG,2019,Argentina,Uranga,9847.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,
71,71,ARG,2019,Argentina,Venado Tuerto,420095.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,
72,72,ARG,2019,Argentina,Villa General Belgrano,56816.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,
73,73,ARG,2019,Argentina,Villa Pehuenia,27616.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,
74,74,ARG,2019,Argentina,la CiudadParana,793211.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,91.991,52.2,,
75,75,AUS,2016,Australia,Adelaide,486541.0,138.601,-34.9285,AUS,411.032,2.36,9.477,385.269,-25.762,-6.268,16.941,15.879,1.167,16939.874,1.097,0.384,0.36,0.249,2.931,179.55,12.746,74.804,137.093,3.909,0.121,7.4,0.525,3.083,5.65,0.161,1.25,1.145,1.078,3.432,0.2,9527.829,5161.939,1754.683,221.658,179.543,1.307,0.949,0.8140000000000001,1.401,0.485,519.09,21.394,122.11,5.033,57.18,2.357,1653.0120000000004,68128.936,1.545,24263000.0,1070000000000.0,,85.8,80.3,8.0,0.939
76,76,AUS,2017,Australia,Adelaide,573347.0,138.601,-34.9285,AUS,415.097,0.989,4.066,388.634,-26.463,-6.375,16.884,15.808,1.163,17354.971999999998,1.098,,,,3.019,176.90599999999995,15.184,76.436,139.65200000000002,3.9,0.123,7.1960000000000015,0.618,3.109,5.68,0.159,1.227,1.147,1.074,3.759,0.204,9704.736,5301.5909999999985,1831.119,236.842,182.562,1.306,0.953,0.8220000000000001,1.46,0.474,,,,,,,,,,24585000.0,,,85.904,81.0,8.0,0.941
77,77,AUS,2018,Australia,Adelaide,592144.0,138.601,-34.9285,AUS,415.954,0.206,0.857,378.922,-37.031,-8.902999999999997,16.706,15.219,1.142,17770.925,1.099,,,,2.942,169.265,17.267,79.43,143.15,3.899,0.118,6.797999999999999,0.6940000000000001,3.19,5.749,0.157,1.158,1.168,1.061,4.02,0.194,9874.001,5444.741,1910.549,254.109,185.504,1.3030000000000002,0.958,0.83,1.526,0.463,,,,,,,,,,24898000.0,,,86.012,80.9,8.0,0.943
78,78,AUS,2019,Australia,Adelaide,618451.65,138.601,-34.9285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.124,80.9,,
79,79,AUS,2017,Australia,Byron Shire,263199.0,153.533,-28.6534,AUS,415.097,0.989,4.066,388.634,-26.463,-6.375,16.884,15.808,1.163,17354.971999999998,1.098,,,,3.019,176.90599999999995,15.184,76.436,139.65200000000002,3.9,0.123,7.1960000000000015,0.618,3.109,5.68,0.159,1.227,1.147,1.074,3.759,0.204,9704.736,5301.5909999999985,1831.119,236.842,182.562,1.306,0.953,0.8220000000000001,1.46,0.474,,,,,,,,,,24585000.0,,,85.904,81.0,8.0,0.941
80,80,AUS,2019,Australia,Byron Shire,36.0,153.533,-28.6534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.124,80.9,,
81,81,AUS,2015,Australia,Canberra,3977800.0,149.124,-35.3075,AUS,401.555,1.887,7.438,395.869,-5.685,-1.416,16.779,16.541,1.14,16528.843,1.095,0.382,0.377,0.248,3.076,174.18900000000005,11.119000000000002,71.804,137.344,4.024,0.129,7.278,0.465,3.0,5.739,0.168,1.1909999999999998,1.153,1.062,3.071,0.215,9348.28,5024.846,1679.879,208.911,176.612,1.308,0.945,0.805,1.352,0.496,536.33,22.411,137.07,5.727,73.52,3.072,1619.23,67659.602,1.5419999999999998,23932000.0,1050000000000.0,,85.70100000000002,81.4,8.0,0.938
82,82,AUS,2016,Australia,Canberra,4003900.0,149.124,-35.3075,AUS,411.032,2.36,9.477,385.269,-25.762,-6.268,16.941,15.879,1.167,16939.874,1.097,0.384,0.36,0.249,2.931,179.55,12.746,74.804,137.093,3.909,0.121,7.4,0.525,3.083,5.65,0.161,1.25,1.145,1.078,3.432,0.2,9527.829,5161.939,1754.683,221.658,179.543,1.307,0.949,0.8140000000000001,1.401,0.485,519.09,21.394,122.11,5.033,57.18,2.357,1653.0120000000004,68128.936,1.545,24263000.0,1070000000000.0,,85.8,80.3,8.0,0.939
83,83,AUS,2017,Australia,Canberra,4047600.0,149.124,-35.3075,AUS,415.097,0.989,4.066,388.634,-26.463,-6.375,16.884,15.808,1.163,17354.971999999998,1.098,,,,3.019,176.90599999999995,15.184,76.436,139.65200000000002,3.9,0.123,7.1960000000000015,0.618,3.109,5.68,0.159,1.227,1.147,1.074,3.759,0.204,9704.736,5301.5909999999985,1831.119,236.842,182.562,1.306,0.953,0.8220000000000001,1.46,0.474,,,,,,,,,,24585000.0,,,85.904,81.0,8.0,0.941
