,Country Code,Country Name,City,CDP_id,CDP_Date_measure,CDP_Latitude,CDP_Longitude,CDP_Altitude,CDP_GDP,CDP_Land_Area,CDP_Population,CDP_Temperature,CDP_EmissionsScope1,CDP_EmissionsScope2,CDP_EmissionsScope3,CDP_TotalEmissions,CDP_Total+Emissions,CDP_Gas_CH4,CDP_Gas_CO2,CDP_Gas_N20,CDP_Gas_HFCs,CDP_Gas_NF3,CDP_Gas_PFCs,CDP_Gas_SF6,OWID_co2,OWID_co2_growth_prct,OWID_co2_growth_abs,OWID_consumption_co2,OWID_trade_co2,OWID_trade_co2_share,OWID_co2_per_capita,OWID_consumption_co2_per_capita,OWID_share_global_co2,OWID_cumulative_co2,OWID_share_global_cumulative_co2,OWID_co2_per_gdp,OWID_consumption_co2_per_gdp,OWID_co2_per_unit_energy,OWID_cement_co2,OWID_coal_co2,OWID_flaring_co2,OWID_gas_co2,OWID_oil_co2,OWID_other_industry_co2,OWID_cement_co2_per_capita,OWID_coal_co2_per_capita,OWID_flaring_co2_per_capita,OWID_gas_co2_per_capita,OWID_oil_co2_per_capita,OWID_other_co2_per_capita,OWID_share_global_coal_co2,OWID_share_global_oil_co2,OWID_share_global_gas_co2,OWID_share_global_flaring_co2,OWID_share_global_cement_co2,OWID_cumulative_coal_co2,OWID_cumulative_oil_co2,OWID_cumulative_gas_co2,OWID_cumulative_flaring_co2,OWID_cumulative_cement_co2,OWID_share_global_cumulative_coal_co2,OWID_share_global_cumulative_oil_co2,OWID_share_global_cumulative_gas_co2,OWID_share_global_cumulative_flaring_co2,OWID_share_global_cumulative_cement_co2,OWID_total_ghg,OWID_ghg_per_capita,OWID_methane,OWID_methane_per_capita,OWID_nitrous_oxide,OWID_nitrous_oxide_per_capita,OWID_primary_energy_consumption,OWID_energy_per_capita,OWID_energy_per_gdp,GINI_GINI,POP_Population,GDP_GDP,GDP_Property Rights,GDP_Government Integrity,GDP_Judicial Effectiveness,GDP_Tax Burden,GDP_Government Spending,GDP_Fiscal Health,GDP_Business Freedom,GDP_Labor Freedom,GDP_Monetary Freedom,GDP_Trade Freedom,GDP_Investment Freedom,GDP_Financial Freedom,HDI_HDI,CDP_inconsistent,CDP_pct_change2
10,AUS,Australia,Hobsons Bay,68296,2017.0,,,,,,96470.0,,577698.69,895964.9,11011.46,1484675.05,1484675.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.124,80.9,79.1,79.9,86.5,62.8,60.1,86.2,88.3,84.1,86.6,87.6,80.0,90.0,,0.0,0.0
11,AUS,Australia,Melbourne,31109,2013.8333333333333,-37.8141,144.963,31.0,45345300000.0,38.0,141800.33333333334,15.6,842145.0,3556173.0,644485.0,5128718.333333333,,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334,1.0,1.0,405.94966666666664,0.39549999999999996,1.5748333333333333,388.4071666666667,-17.542,-4.259666666666667,16.854166666666668,16.136666666666667,1.1444999999999999,16742.512166666667,1.0961666666666667,0.38649999999999995,0.377,0.24925,3.0666666666666664,174.06450000000004,12.528166666666666,73.90033333333334,138.50533333333334,3.884833333333333,0.12766666666666668,7.2299999999999995,0.5178333333333333,3.066333333333333,5.751000000000001,0.1615,1.1888333333333332,1.1593333333333333,1.0701666666666667,3.2655,0.20916666666666664,9439.149666666666,5095.0858333333335,1720.135833333333,217.90599999999998,178.02583333333334,1.3083333333333333,0.9465,0.8091666666666667,1.388,0.4913333333333334,530.6575,22.3405,133.02749999999997,5.602250000000001,68.9325,2.90425,1611.1000000000004,67800.66975,1.553,34.4,85.75350000000002,81.36666666666667,86.73333333333333,81.48333333333333,93.15,63.949999999999996,61.56666666666666,84.44999999999999,92.0,80.88333333333334,84.76666666666667,86.3,80.83333333333333,90.0,0.9375,0.0,0.05013349778685807
12,AUS,Australia,Melton,59971,2017.0,,,,,,,,793371.0,1420834.0,148990.0,2363195.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.124,80.9,79.1,79.9,86.5,62.8,60.1,86.2,88.3,84.1,86.6,87.6,80.0,90.0,,0.0,0.0
13,AUS,Australia,Mornington Peninsula Shire,73722,2018.0,,,,,,160862.0,,958773.0,992254.0,116185.0,1858540.0,2067212.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.124,80.9,79.1,79.9,86.5,62.8,60.1,86.2,88.3,84.1,86.6,87.6,80.0,90.0,,0.0,0.0
14,AUS,Australia,Perth,43934,2015.0,-31.9526,115.861,,,20.01,29764.0,,123613.0,1028194.0,209463.0,653337.0,,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,415.954,0.206,0.857,378.922,-37.031,-8.902999999999997,16.706,15.219,1.142,17770.925,1.099,,,,2.942,169.265,17.267,79.43,143.15,3.899,0.118,6.797999999999999,0.6940000000000001,3.19,5.749,0.157,1.158,1.168,1.061,4.02,0.194,9874.001,5444.741,1910.549,254.109,185.504,1.3030000000000002,0.958,0.83,1.526,0.463,,,,,,,,,,,86.068,81.46666666666667,80.2,82.2,88.66666666666667,62.93333333333334,60.96666666666667,87.43333333333334,88.39999999999999,82.60000000000001,86.73333333333333,87.33333333333333,80.0,90.0,0.943,0.0,0.0
15,AUS,Australia,Port Phillip,73703,2018.0,,,,,21.0,115601.0,,422725.0,853034.0,147541.0,1423300.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.6,82.8,89.3,86.1,63.0,61.6,91.8,87.8,84.0,86.2,88.2,80.0,90.0,,0.0,0.0
16,AUS,Australia,Sydney,31114,2013.625,-33.8675,151.207,39.0,114000000000.0,26.0,227878.8,20.0,199620.2,2998721.412,1345366.1466666667,4298310.40125,4146971.56,1.0,1.0,0.875,1.0,1.0,1.0,1.0,405.94966666666664,0.39549999999999996,1.5748333333333333,388.4071666666667,-17.542,-4.259666666666667,16.854166666666668,16.136666666666667,1.1444999999999999,16742.512166666667,1.0961666666666667,0.38649999999999995,0.377,0.24925,3.0666666666666664,174.06450000000004,12.528166666666666,73.90033333333334,138.50533333333334,3.884833333333333,0.12766666666666668,7.2299999999999995,0.5178333333333333,3.066333333333333,5.751000000000001,0.1615,1.1888333333333332,1.1593333333333333,1.0701666666666667,3.2655,0.20916666666666664,9439.149666666666,5095.0858333333335,1720.135833333333,217.90599999999998,178.02583333333334,1.3083333333333333,0.9465,0.8091666666666667,1.388,0.4913333333333334,530.6575,22.3405,133.02749999999997,5.602250000000001,68.9325,2.90425,1611.1000000000004,67800.66975,1.553,34.4,85.80642857142858,81.4625,85.2875,82.26249999999999,89.725,63.6875,61.3875,86.725,91.01249999999999,81.675,85.17500000000001,86.7,80.625,90.0,0.9375,0.0,-0.041646499251239325
17,AUS,Australia,Wollongong,54253,2017.0,-34.4278,150.893,,,,216071.0,,802881.0,1944120.0,,3091346.0,281078.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.124,80.9,79.1,79.9,86.5,62.8,60.1,86.2,88.3,84.1,86.6,87.6,80.0,90.0,,0.0,0.0
18,AUS,Australia,Wyndham,68290,2017.0,,,,,542.0,255322.0,,1178612.51,2194812.42,231804.98,3402006.54,3605229.91,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.124,81.75,80.94999999999999,84.6,86.3,62.9,60.85,89.0,88.05,84.05,86.4,87.9,80.0,90.0,,0.0,0.0
19,BGR,Bulgaria,Sofia,43917,2016.0,42.6977,23.3219,,,1311.0,1428411.0,,2640787.143333333,3340577.96,,4959238.67,,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,43.552,-8.322000000000001,-3.954,39.146,-4.4060000000000015,-10.116,6.176,5.551,0.12,3748.739,0.232,,,,1.224,22.089,0.7120000000000001,5.7810000000000015,12.491,1.255,0.173,3.132,0.101,0.82,1.771,0.17800000000000002,0.151,0.102,0.077,0.166,0.081,2108.1420000000007,1181.169,325.748,7.8279999999999985,102.488,0.278,0.208,0.142,0.047,0.256,,,,,,,,,,41.3,75.1775,69.16666666666667,63.43333333333334,39.16666666666667,43.26666666666667,90.46666666666668,63.5,97.43333333333334,63.199999999999996,67.53333333333333,85.5,86.43333333333334,70.0,60.0,0.813,0.0,-0.032314029912721254
